year,key_mlbam,pitches,runs_all,runs_heart,runs_shadow,runs_chase,runs_waste,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,competitive_runs,sprint_speed,bbe,gb_rate,air_rate,fb_rate,ld_rate,pu_rate,pull_rate,straight_rate,oppo_rate,pull_gb_rate,straight_gb_rate,oppo_gb_rate,pull_air_rate,straight_air_rate,oppo_air_rate,bip,est_ba,est_ba_minus_ba_diff,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,POS_1B,POS_2B,POS_3B,POS_C,POS_CF,POS_DH,POS_LF,POS_RF,POS_SS,POS_UNK,TEAM_108,TEAM_109,TEAM_110,TEAM_111,TEAM_112,TEAM_113,TEAM_114,TEAM_115,TEAM_116,TEAM_117,TEAM_118,TEAM_119,TEAM_120,TEAM_121,TEAM_133,TEAM_134,TEAM_135,TEAM_136,TEAM_137,TEAM_138,TEAM_139,TEAM_140,TEAM_141,TEAM_142,TEAM_143,TEAM_144,TEAM_145,TEAM_146,TEAM_147,TEAM_158
2015,592518,2778,35.14962942842001,0.4219531131237461,-0.155832360343237,23.51377762511786,11.369731050521596,528,12.8,29.7,114.9,91.4,101.7,94.4,90.6,440,180,399.0,220,41.7,40,7.6,5.6,271,27.4,489,0.3885480572597137,0.6114519427402864,0.2924335378323108,0.2494887525562372,0.0695296523517382,0.3558282208588957,0.3926380368098159,0.2515337423312883,0.1799591002044989,0.1676891615541922,0.0408997955010225,0.1758691206543967,0.2249488752556237,0.2106339468302658,528,0.262,0.0239999999999999,0.447,0.0549999999999999,0.37,0.345,0.025,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,518934,2431,4.038817361517276,-6.148119284677239,-13.717815380806488,16.429414732736888,7.475337294264073,462,2.9,32.5,108.0,90.5,99.6,92.6,89.0,462,144,410.0,185,40.0,9,1.9,1.5,262,27.3,93,0.6021505376344086,0.3978494623655914,0.1505376344086021,0.2258064516129032,0.021505376344086,0.1505376344086021,0.4408602150537634,0.4086021505376344,0.1290322580645161,0.3118279569892473,0.1612903225806451,0.021505376344086,0.1290322580645161,0.2473118279569892,462,0.276,0.0249999999999999,0.379,0.009,0.327,0.319,0.008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,543510,1498,-8.883458858244722,-2.542121458740377,-11.005697127688892,0.3931219758474866,4.27123775233709,316,8.6,30.1,108.3,88.3,98.6,90.4,87.7,427,149,397.0,118,37.3,11,3.5,2.6,175,26.8,92,0.4891304347826087,0.5108695652173914,0.2608695652173913,0.217391304347826,0.0326086956521739,0.3260869565217391,0.4021739130434782,0.2717391304347826,0.2391304347826087,0.2065217391304347,0.0434782608695652,0.0869565217391304,0.1956521739130435,0.2282608695652173,316,0.246,0.018,0.362,0.025,0.297,0.284,0.013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,656941,1161,16.748123906855398,5.423001434113138,-2.507376656734303,6.350143874437524,7.48235525503904,156,15.5,32.1,111.3,91.9,101.3,96.2,89.2,448,201,400.0,66,42.3,19,12.2,7.0,86,27.1,408,0.3431372549019608,0.6568627450980392,0.3431372549019608,0.2254901960784313,0.088235294117647,0.5465686274509803,0.2818627450980392,0.1715686274509804,0.2352941176470588,0.1004901960784313,0.0073529411764705,0.3112745098039215,0.1813725490196078,0.1642156862745098,156,0.241,0.005,0.485,0.002,0.364,0.365,-0.001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,543760,2363,-6.941200596374855,-14.084137947020938,-10.19230382903321,11.924068153969714,5.411173025709591,426,13.6,37.1,106.9,87.1,96.8,92.0,81.9,419,183,391.0,123,28.9,19,4.5,3.2,198,28.9,386,0.344559585492228,0.655440414507772,0.3341968911917098,0.2305699481865284,0.0906735751295336,0.4455958549222797,0.3678756476683937,0.1865284974093264,0.2072538860103626,0.1113989637305699,0.0259067357512953,0.238341968911917,0.2564766839378238,0.160621761658031,426,0.24,0.017,0.38,0.025,0.311,0.298,0.013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,545361,2925,62.182347481764815,19.251898553427484,8.012093237229731,20.32239164777649,14.59596404333122,422,14.0,38.9,117.7,92.9,104.3,97.0,88.6,477,204,410.0,205,48.6,69,16.4,10.1,236,29.6,284,0.3415492957746479,0.6584507042253521,0.3028169014084507,0.2816901408450704,0.0739436619718309,0.3767605633802817,0.3415492957746479,0.2816901408450704,0.176056338028169,0.1126760563380281,0.0528169014084507,0.2007042253521127,0.2288732394366197,0.2288732394366197,422,0.297,0.002,0.588,0.002,0.415,0.422,-0.007,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,500743,557,-2.1051377170534704,-4.130139760166939,0.105831741923412,0.2974715359080294,1.6216987652820234,130,4.4,20.8,107.4,87.8,97.0,87.7,89.5,383,123,365.0,40,30.8,0,0.0,0.0,74,26.4,247,0.4574898785425101,0.5425101214574899,0.2307692307692307,0.2388663967611336,0.0728744939271255,0.4210526315789473,0.3522267206477733,0.2267206477732793,0.2267206477732793,0.1538461538461538,0.0769230769230769,0.194331983805668,0.1983805668016194,0.1497975708502024,130,0.261,0.0209999999999999,0.311,0.0549999999999999,0.303,0.287,0.016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,595978,532,-13.161861596608157,-5.409008647338892,-9.87893722428937,0.5230294559851112,1.603054819035001,105,12.8,31.4,108.3,88.1,96.7,88.3,89.7,425,165,393.0,26,24.8,1,1.0,0.7,52,26.6,118,0.3220338983050847,0.6779661016949152,0.2796610169491525,0.2203389830508474,0.1779661016949152,0.4830508474576271,0.2711864406779661,0.2457627118644068,0.1949152542372881,0.1016949152542373,0.0254237288135593,0.288135593220339,0.1694915254237288,0.2203389830508474,105,0.19,-0.0219999999999999,0.259,-0.011,0.203,0.222,-0.0189999999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,545341,1381,13.827374390804588,5.495633967536328,-3.042551441870054,6.887996691387405,4.486295173750914,214,16.3,34.1,112.0,92.2,102.9,98.0,88.1,438,203,409.0,99,46.3,36,16.8,10.3,120,28.7,214,0.3831775700934579,0.616822429906542,0.2710280373831775,0.2336448598130841,0.1121495327102803,0.4439252336448598,0.3317757009345794,0.2242990654205607,0.2242990654205607,0.116822429906542,0.0420560747663551,0.219626168224299,0.2149532710280373,0.1822429906542056,214,0.243,0.033,0.488,0.06,0.37,0.338,0.0319999999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,518692,1852,19.773920711734156,0.3626988553876249,-2.3453405472009385,14.817541363678975,6.939021039868448,320,14.4,43.4,110.0,90.6,100.2,94.1,85.8,451,198,404.0,143,44.7,36,11.3,7.5,144,25.5,433,0.4157043879907621,0.584295612009238,0.2909930715935335,0.2540415704387991,0.0392609699769053,0.4341801385681293,0.3117782909930716,0.2540415704387991,0.2448036951501154,0.1200923787528868,0.0508083140877598,0.1893764434180138,0.1916859122401847,0.2032332563510392,320,0.305,-0.0289999999999999,0.571,-0.0999999999999999,0.364,0.415,-0.0509999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
