BA_guess,key_fangraphs
0.319113,18401
0.278925,15640
0.276566,20123
0.287103,13611
0.284563,19709
0.298023,13624
0.271635,26288
0.297885,19556
0.288255,25764
0.273115,19197
0.282777,23697
0.292573,19755
0.275719,13510
0.302976,5361
0.282077,18360
0.265903,17678
0.279539,25878
0.268343,10155
0.279688,17350
0.253324,12916
0.259565,19352
0.265627,20503
0.291223,19611
0.281771,18345
0.261431,26289
0.279286,16252
0.263747,12533
0.280878,11579
0.263777,18314
0.264023,14344
0.272222,13613
0.270455,16997
0.269818,5417
0.281238,25931
0.222203,21534
0.260409,11739
0.24257,16505
0.286729,16578
0.24795,15986
0.237695,16930
0.263056,12927
0.28623,19612
0.258327,19290
0.273157,12161
0.230023,27478
0.270249,16556
0.266251,11493
0.229355,13301
0.260431,22581
0.260836,11609
0.25913,14162
0.261892,19950
0.261858,20437
0.249324,19251
0.226998,26121
0.265727,20043
0.226757,16478
0.257622,29695
0.226972,21865
0.236261,16535
0.2496,21711
0.23787,27647
0.272397,30116
0.24456,15491
0.262511,9218
0.270894,19326
0.242718,13152
0.253875,25768
0.24512,20454
0.254789,27790
0.270704,17548
0.234571,18882
0.28299,21479
0.268562,13066
0.242407,27506
0.256748,24729
0.246722,27534
0.263642,21636
0.263956,11477
0.254448,26299
0.310783,18568
0.250706,31347
0.263163,19470
0.253921,22275
0.23653,20036
0.267234,26294
0.253211,26668
0.248952,14221
0.265296,25976
0.255744,21454
0.259067,19610
0.24874,9777
0.250779,17919
0.25845,12856
0.24175,17929
0.254386,15998
0.259867,12861
0.274249,23003
0.264054,18577
0.236607,14161
0.258753,19955
0.229464,24618
0.220902,19859
0.236109,27562
0.235858,12552
0.242631,19287
0.263227,24617
0.230226,19918
0.252473,15711
0.240978,16472
0.240404,12564
0.235688,29766
0.235333,23565
0.262479,20529
0.230243,22263
0.287421,17907
0.248562,19599
0.25414,13419
0.247154,27465
0.265321,19566
0.279515,15518
0.273225,24064
0.249009,7739
0.273107,27676
0.267363,17027
0.219613,18564
0.248279,12144
0.255883,17988
0.242628,14551
0.279218,26031
0.248498,18036
0.221386,24770
0.242499,19953
0.244545,17232
0.248785,27815
0.249292,29617
0.218856,5517
0.22043,17452
0.24962,16219
0.271244,21618
0.22345,22244
0.254995,21523
0.270502,18373
0.261349,23792
0.269648,22715
0.272199,18839
0.258555,11899
0.232133,14968
0.25025,19858
0.256466,10324
0.271288,28163
0.267844,17901
0.270529,24610
0.266795,15362
0.251954,18900
0.244548,27479
0.22839,25616
0.251227,23690
0.256186,16426
0.233649,13757
0.251403,27769
0.26153,12037
0.192793,12976
0.245862,20202
0.22576,15161
0.218804,25816
0.246717,15112
0.240822,17128
0.216736,11442
0.28267,19238
0.226779,21693
0.215951,10059
0.250994,20126
0.250732,29976
0.252466,11445
0.270637,24679
0.238583,18126
0.243508,21780
0.219409,16622
0.282342,31837
0.269775,33189
0.261546,26197
0.242848,22514
0.278751,22664
0.224471,13338
0.216119,19452
0.21542,23312
0.234341,9774
0.274398,20391
0.24033,21897
0.251746,9874
0.238621,22197
0.223876,23401
0.263644,27475
0.24761,16376
0.269299,17484
0.264041,29622
0.2659,26517
0.23967,18030
0.253284,26323
0.245822,19522
0.245345,16939
0.226515,23800
0.214963,11368
0.231839,4949
0.254053,22217
0.250228,9627
0.228914,14854
0.246641,11615
0.255162,17620
0.243309,27684
0.240412,19392
0.235323,3473
0.231597,22799
0.24305,21614
0.271317,19600
0.249692,19363
0.239514,22186
0.238815,10028
0.232374,19896
0.248222,24336
0.248509,12979
0.236864,21538
0.253455,2967
0.239384,20308
0.24436,13185
0.276699,15172
0.249913,7304
0.24326,17338
0.238964,25479
0.264338,11281
0.251713,13621
0.255402,6184
0.24018,11038
0.232754,18171
0.261844,21558
0.258986,11737
0.264813,14712
0.257844,16153
0.245892,20599
0.227396,11489
0.255379,15676
0.224263,26466
0.243274,22558
0.239944,20505
0.263585,20325
0.251043,17982
0.258289,9241
0.253038,21840
0.253083,25961
0.25679,20178
0.210547,22458
0.225315,19252
0.251662,13145
0.223974,19354
0.235218,18363
0.259829,21622
0.267373,10681
0.238867,17273
0.262247,5933
0.262459,7802
0.210137,18042
0.232657,13499
0.226982,13355
0.241852,18795
0.237541,12859
0.220367,21853
0.226173,5038
0.232104,26365
0.277732,20521
0.27124,15429
0.243802,19455
0.23465,14274
0.253802,16337
0.239321,23772
0.22854,19844
0.224032,19627
0.2181,13620
0.237437,26396
0.25346,18819
0.261794,30011
0.25195,23818
0.256258,16442
0.250915,28080
0.243195,19913
0.245074,5827
0.229647,22168
0.258666,16530
0.271157,22266
0.279653,22532
0.242147,4940
0.241733,22563
0.247908,23733
0.232451,10472
0.25546,11680
0.263104,8623
0.244922,9847
0.247419,5235
0.22744,19734
0.270114,26467
0.208594,18015
0.231462,5343
0.236138,13675
0.249662,8709
0.192704,13265
0.251426,19260
0.236752,15937
0.24245,15274
0.212112,13602
0.251476,19997
0.227709,15674
0.225084,22542
0.234223,26123
0.241789,18821
0.235486,18289
0.2483,10243
0.276057,14387
0.242704,22650
0.247856,17022
0.23559,12532
0.221073,10264
0.241954,19293
0.232361,9368
0.190045,18887
0.254845,19818
0.228591,5254
0.23899,15679
0.240626,27577
0.230479,16725
0.219234,19151
0.244398,14813
0.219474,12282
0.232872,6153
0.218509,12158
0.256012,24262
0.257399,24655
0.250066,25807
0.213884,26368
0.261985,13770
0.212769,13769
0.255332,2136
0.221815,21635
0.23855,13590
0.23103,27555
0.229326,23296
0.229796,20536
0.221746,14111
0.245308,22896
0.260029,19698
0.235007,23359
0.236788,22823
0.230898,19956
0.253128,15279
0.241207,26438
0.23489,2829
0.237832,18551
0.252005,16512
0.233985,22277
0.236708,10815
0.265534,25660
0.256126,23985
0.234162,18054
0.249618,15672
0.245662,22871
0.229406,21501
0.231401,12147
0.276507,31490
0.247623,23986
0.228237,21707
0.229028,27690
0.245705,8202
0.254514,15223
0.251964,5760
0.236856,12546
0.21817,19514
0.206713,17276
0.237826,15464
0.23886,19339
0.233942,19964
0.251552,25493
0.23527,12325
0.237739,16572
0.219486,21524
0.211943,19318
0.235053,15941
0.202276,12510
0.23443,26149
0.242302,24273
0.244747,12180
0.251229,20017
0.231083,19296
0.245052,19779
0.253976,21270
0.196675,6887
0.253283,21746
